"id","age","gender","income_level","satisfaction","product_usage","comments","age_group","satisfaction_level"
1,25,"女","5000-8000",4,"高频","这个产品很好用，性价比高","18-25","满意"
2,32,"男","8000-12000",5,"中频","包装精美，送人很合适","26-35","很满意"
3,28,"女","3000-5000",3,"低频","还可以，但有些功能不够实用","26-35","一般"
4,35,"男","12000+",4,"高频","品牌值得信赖，经常购买","26-35","满意"
5,22,"女","3000-5000",5,"高频","颜值高，朋友都说好看","18-25","很满意"
6,40,"男","8000-12000",3,"中频","价格偏高，但质量不错","36-45","一般"
7,27,"女","5000-8000",4,"高频","客服响应快，售后好","26-35","满意"
8,33,"男","12000+",5,"高频","性价比超高，强烈推荐","26-35","很满意"
9,26,"女","3000-5000",4,"中频","物流快，包装完整","26-35","满意"
10,38,"男","8000-12000",3,"低频","功能一般，期待改进","36-45","一般"
11,24,"女","5000-8000",5,"高频","超爱这个品牌的设计","18-25","很满意"
12,36,"男","12000+",4,"高频","用了一段时间，很稳定","36-45","满意"
13,29,"女","3000-5000",3,"中频","还可以，符合预期","26-35","一般"
14,31,"男","8000-12000",4,"高频","朋友推荐的，确实不错","26-35","满意"
15,23,"女","5000-8000",5,"高频","必买清单里的常客","18-25","很满意"
16,42,"男","12000+",3,"中频","品牌老化，需要创新","36-45","一般"
17,25,"女","3000-5000",4,"高频","小众品牌，品质在线","18-25","满意"
18,34,"男","8000-12000",5,"高频","超出预期，物超所值","26-35","很满意"
19,27,"女","5000-8000",3,"低频","一般般，没有惊喜","26-35","一般"
20,39,"男","12000+",4,"高频","值得收藏的品牌","36-45","满意"
