id,age,gender,income_level,satisfaction,product_usage,comments
1,25,女,5000-8000,4,高频,"这个产品很好用，性价比高"
2,32,男,8000-12000,5,中频,"包装精美，送人很合适"
3,28,女,3000-5000,3,低频,"还可以，但有些功能不够实用"
4,35,男,12000+,4,高频,"品牌值得信赖，经常购买"
5,22,女,3000-5000,5,高频,"颜值高，朋友都说好看"
6,40,男,8000-12000,3,中频,"价格偏高，但质量不错"
7,27,女,5000-8000,4,高频,"客服响应快，售后好"
8,33,男,12000+,5,高频,"性价比超高，强烈推荐"
9,26,女,3000-5000,4,中频,"物流快，包装完整"
10,38,男,8000-12000,3,低频,"功能一般，期待改进"
11,24,女,5000-8000,5,高频,"超爱这个品牌的设计"
12,36,男,12000+,4,高频,"用了一段时间，很稳定"
13,29,女,3000-5000,3,中频,"还可以，符合预期"
14,31,男,8000-12000,4,高频,"朋友推荐的，确实不错"
15,23,女,5000-8000,5,高频,"必买清单里的常客"
16,42,男,12000+,3,中频,"品牌老化，需要创新"
17,25,女,3000-5000,4,高频,"小众品牌，品质在线"
18,34,男,8000-12000,5,高频,"超出预期，物超所值"
19,27,女,5000-8000,3,低频,"一般般，没有惊喜"
20,39,男,12000+,4,高频,"值得收藏的品牌"
